,season,rank_pub_date,team,rank,last_updated
79,2019,2019-05-01,Gonzaga,4,2019-11-22 21:34:27.241391
80,2019,2018-11-01,Michigan State,10,2019-11-22 21:34:27.241391
81,2019,2018-11-12,Michigan State,11,2019-11-22 21:34:27.241391
82,2019,2018-11-19,Michigan State,11,2019-11-22 21:34:27.241391
83,2019,2018-11-26,Michigan State,9,2019-11-22 21:34:27.241391
84,2019,2018-12-03,Michigan State,10,2019-11-22 21:34:27.241391
85,2019,2018-12-10,Michigan State,9,2019-11-22 21:34:27.241391
86,2019,2018-12-17,Michigan State,10,2019-11-22 21:34:27.241391
87,2019,2018-12-24,Michigan State,8,2019-11-22 21:34:27.241391
88,2019,2018-12-31,Michigan State,8,2019-11-22 21:34:27.241391
89,2019,2019-01-07,Michigan State,6,2019-11-22 21:34:27.241391
90,2019,2019-01-14,Michigan State,6,2019-11-22 21:34:27.241391
91,2019,2019-01-21,Michigan State,6,2019-11-22 21:34:27.241391
92,2019,2019-01-28,Michigan State,6,2019-11-22 21:34:27.241391
93,2019,2019-02-04,Michigan State,9,2019-11-22 21:34:27.241391
94,2019,2019-02-11,Michigan State,11,2019-11-22 21:34:27.241391
95,2019,2019-02-18,Michigan State,10,2019-11-22 21:34:27.241391
96,2019,2019-02-25,Michigan State,6,2019-11-22 21:34:27.241391
97,2019,2019-03-04,Michigan State,9,2019-11-22 21:34:27.241391
98,2019,2019-03-11,Michigan State,6,2019-11-22 21:34:27.241391
99,2019,2019-05-01,Michigan State,5,2019-11-22 21:34:27.241391
100,2019,2018-11-01,Tennessee,6,2019-11-22 21:34:27.241391
101,2019,2018-11-12,Tennessee,5,2019-11-22 21:34:27.241391
102,2019,2018-11-19,Tennessee,5,2019-11-22 21:34:27.241391
103,2019,2018-11-26,Tennessee,6,2019-11-22 21:34:27.241391
104,2019,2018-12-03,Tennessee,7,2019-11-22 21:34:27.241391
105,2019,2018-12-10,Tennessee,3,2019-11-22 21:34:27.241391
106,2019,2018-12-17,Tennessee,3,2019-11-22 21:34:27.241391
107,2019,2018-12-24,Tennessee,3,2019-11-22 21:34:27.241391
108,2019,2018-12-31,Tennessee,3,2019-11-22 21:34:27.241391
109,2019,2019-01-07,Tennessee,3,2019-11-22 21:34:27.241391
110,2019,2019-01-14,Tennessee,3,2019-11-22 21:34:27.241391
111,2019,2019-01-21,Tennessee,1,2019-11-22 21:34:27.241391
112,2019,2019-01-28,Tennessee,1,2019-11-22 21:34:27.241391
113,2019,2019-02-04,Tennessee,1,2019-11-22 21:34:27.241391
114,2019,2019-02-11,Tennessee,1,2019-11-22 21:34:27.241391
115,2019,2019-02-18,Tennessee,5,2019-11-22 21:34:27.241391
116,2019,2019-02-25,Tennessee,7,2019-11-22 21:34:27.241391
117,2019,2019-03-04,Tennessee,5,2019-11-22 21:34:27.241391
118,2019,2019-03-11,Tennessee,8,2019-11-22 21:34:27.241391
119,2019,2019-05-01,Tennessee,6,2019-11-22 21:34:27.241391
120,2019,2018-11-01,Kentucky,2,2019-11-22 21:34:27.241391
121,2019,2018-11-12,Kentucky,10,2019-11-22 21:34:27.241391
122,2019,2018-11-19,Kentucky,10,2019-11-22 21:34:27.241391
123,2019,2018-11-26,Kentucky,10,2019-11-22 21:34:27.241391
124,2019,2018-12-03,Kentucky,9,2019-11-22 21:34:27.241391
125,2019,2018-12-10,Kentucky,19,2019-11-22 21:34:27.241391
126,2019,2018-12-17,Kentucky,19,2019-11-22 21:34:27.241391
127,2019,2018-12-24,Kentucky,16,2019-11-22 21:34:27.241391
128,2019,2018-12-31,Kentucky,13,2019-11-22 21:34:27.241391
129,2019,2019-01-07,Kentucky,18,2019-11-22 21:34:27.241391
130,2019,2019-01-14,Kentucky,12,2019-11-22 21:34:27.241391
131,2019,2019-01-21,Kentucky,8,2019-11-22 21:34:27.241391
132,2019,2019-01-28,Kentucky,7,2019-11-22 21:34:27.241391
133,2019,2019-02-04,Kentucky,5,2019-11-22 21:34:27.241391
134,2019,2019-02-11,Kentucky,5,2019-11-22 21:34:27.241391
135,2019,2019-02-18,Kentucky,4,2019-11-22 21:34:27.241391
136,2019,2019-02-25,Kentucky,4,2019-11-22 21:34:27.241391
137,2019,2019-03-04,Kentucky,6,2019-11-22 21:34:27.241391
138,2019,2019-03-11,Kentucky,4,2019-11-22 21:34:27.241391
139,2019,2019-05-01,Kentucky,7,2019-11-22 21:34:27.241391
140,2019,2018-11-01,Michigan,19,2019-11-22 21:34:27.241391
141,2019,2018-11-12,Michigan,18,2019-11-22 21:34:27.241391
142,2019,2018-11-19,Michigan,9,2019-11-22 21:34:27.241391
143,2019,2018-11-26,Michigan,7,2019-11-22 21:34:27.241391
144,2019,2018-12-03,Michigan,5,2019-11-22 21:34:27.241391
145,2019,2018-12-10,Michigan,5,2019-11-22 21:34:27.241391
146,2019,2018-12-17,Michigan,4,2019-11-22 21:34:27.241391
147,2019,2018-12-24,Michigan,2,2019-11-22 21:34:27.241391
148,2019,2018-12-31,Michigan,2,2019-11-22 21:34:27.241391
149,2019,2019-01-07,Michigan,2,2019-11-22 21:34:27.241391
150,2019,2019-01-14,Michigan,2,2019-11-22 21:34:27.241391
151,2019,2019-01-21,Michigan,5,2019-11-22 21:34:27.241391
152,2019,2019-01-28,Michigan,5,2019-11-22 21:34:27.241391
153,2019,2019-02-04,Michigan,7,2019-11-22 21:34:27.241391
154,2019,2019-02-11,Michigan,6,2019-11-22 21:34:27.241391
155,2019,2019-02-18,Michigan,7,2019-11-22 21:34:27.241391
156,2019,2019-02-25,Michigan,9,2019-11-22 21:34:27.241391
157,2019,2019-03-04,Michigan,7,2019-11-22 21:34:27.241391
158,2019,2019-03-11,Michigan,10,2019-11-22 21:34:27.241391
159,2019,2019-05-01,Michigan,8,2019-11-22 21:34:27.241391
160,2019,2018-11-01,Texas Tech,8,2019-11-22 21:34:27.241391
161,2019,2018-11-12,Texas Tech,8,2019-11-22 21:34:27.241391
162,2019,2018-11-19,Texas Tech,8,2019-11-22 21:34:27.241391
163,2019,2018-11-26,Texas Tech,20,2019-11-22 21:34:27.241391
164,2019,2018-12-03,Texas Tech,13,2019-11-22 21:34:27.241391
165,2019,2018-12-10,Texas Tech,11,2019-11-22 21:34:27.241391
166,2019,2018-12-17,Texas Tech,12,2019-11-22 21:34:27.241391
167,2019,2018-12-24,Texas Tech,11,2019-11-22 21:34:27.241391
168,2019,2018-12-31,Texas Tech,11,2019-11-22 21:34:27.241391
169,2019,2019-01-07,Texas Tech,8,2019-11-22 21:34:27.241391
170,2019,2019-01-14,Texas Tech,8,2019-11-22 21:34:27.241391
171,2019,2019-01-21,Texas Tech,14,2019-11-22 21:34:27.241391
172,2019,2019-01-28,Texas Tech,16,2019-11-22 21:34:27.241391
173,2019,2019-02-04,Texas Tech,18,2019-11-22 21:34:27.241391
174,2019,2019-02-11,Texas Tech,15,2019-11-22 21:34:27.241391
175,2019,2019-02-18,Texas Tech,14,2019-11-22 21:34:27.241391
176,2019,2019-02-25,Texas Tech,11,2019-11-22 21:34:27.241391
177,2019,2019-03-04,Texas Tech,8,2019-11-22 21:34:27.241391
178,2019,2019-03-11,Texas Tech,7,2019-11-22 21:34:27.241391
179,2019,2019-05-01,Texas Tech,9,2019-11-22 21:34:27.241391
180,2019,2018-11-01,Florida State,17,2019-11-22 21:34:27.241391
181,2019,2018-11-12,Florida State,14,2019-11-22 21:34:27.241391
182,2019,2018-11-19,Florida State,14,2019-11-22 21:34:27.241391
183,2019,2018-11-26,Florida State,15,2019-11-22 21:34:27.241391
184,2019,2018-12-03,Florida State,11,2019-11-22 21:34:27.241391
185,2019,2018-12-10,Florida State,10,2019-11-22 21:34:27.241391
186,2019,2018-12-17,Florida State,11,2019-11-22 21:34:27.241391
187,2019,2018-12-24,Florida State,9,2019-11-22 21:34:27.241391
188,2019,2018-12-31,Florida State,9,2019-11-22 21:34:27.241391
189,2019,2019-01-07,Florida State,13,2019-11-22 21:34:27.241391
190,2019,2019-01-14,Florida State,11,2019-11-22 21:34:27.241391
191,2019,2019-01-21,Florida State,11,2019-11-22 21:34:27.241391
192,2019,2019-01-28,Florida State,25,2019-11-22 21:34:27.241391
193,2019,2019-02-04,Florida State,22,2019-11-22 21:34:27.241391
194,2019,2019-02-11,Florida State,17,2019-11-22 21:34:27.241391
195,2019,2019-02-18,Florida State,16,2019-11-22 21:34:27.241391
196,2019,2019-02-25,Florida State,18,2019-11-22 21:34:27.241391
197,2019,2019-03-04,Florida State,14,2019-11-22 21:34:27.241391
198,2019,2019-03-11,Florida State,12,2019-11-22 21:34:27.241391
199,2019,2019-05-01,Florida State,10,2019-11-22 21:34:27.241391
200,2019,2018-11-01,Houston,10,2019-11-22 21:34:27.241391
201,2019,2018-11-12,Houston,10,2019-11-22 21:34:27.241391
202,2019,2018-11-19,Houston,10,2019-11-22 21:34:27.241391
203,2019,2018-11-26,Houston,10,2019-11-22 21:34:27.241391
204,2019,2018-12-03,Houston,10,2019-11-22 21:34:27.241391
205,2019,2018-12-10,Houston,24,2019-11-22 21:34:27.241391
206,2019,2018-12-17,Houston,21,2019-11-22 21:34:27.241391
207,2019,2018-12-24,Houston,22,2019-11-22 21:34:27.241391
208,2019,2018-12-31,Houston,19,2019-11-22 21:34:27.241391
209,2019,2019-01-07,Houston,17,2019-11-22 21:34:27.241391
210,2019,2019-01-14,Houston,21,2019-11-22 21:34:27.241391
211,2019,2019-01-21,Houston,17,2019-11-22 21:34:27.241391
212,2019,2019-01-28,Houston,13,2019-11-22 21:34:27.241391
213,2019,2019-02-04,Houston,12,2019-11-22 21:34:27.241391
214,2019,2019-02-11,Houston,9,2019-11-22 21:34:27.241391
215,2019,2019-02-18,Houston,9,2019-11-22 21:34:27.241391
216,2019,2019-02-25,Houston,8,2019-11-22 21:34:27.241391
217,2019,2019-03-04,Houston,12,2019-11-22 21:34:27.241391
218,2019,2019-03-11,Houston,11,2019-11-22 21:34:27.241391
219,2019,2019-05-01,Houston,11,2019-11-22 21:34:27.241391
220,2019,2018-11-01,LSU,23,2019-11-22 21:34:27.241391
221,2019,2018-11-12,LSU,22,2019-11-22 21:34:27.241391
222,2019,2018-11-19,LSU,19,2019-11-22 21:34:27.241391
