,team_id,team_and_mascot,team_abb,team_city_state,team_first_yr,team_last_yr,team_years,game_count,win_count,loss_count,win_pct,srs_rating,str_of_sched,final_ap_polls_ranked,conf_reg,conf_tourn,ncaa_appearances,final_four_appearances,ncaa_champ_won
379,380,Southwestern (TX) Pirates,southwestern-tx,"Georgetown, Texas",1915,1916,2,10,1,9,.100,,,0,0,0,,,
380,381,Springfield Pride,springfield,"Springfield, Massachusetts",1897,1935,30,406,268,138,.660,,,0,0,0,,,
381,382,St. Bonaventure Bonnies,st-bonaventure,"St. Bonaventure, New York",1920,2020,100,2404,1363,1041,.567,1.98,1.55,6,7,1,7,1,0
382,383,St. Francis (NY) Terriers,st-francis-ny,"Brooklyn Heights, New York",1902,2020,101,2514,1229,1285,.489,-11.62,-5.52,0,6,0,0,0,0
383,384,St. John's (NY) Red Storm,st-johns-ny,"Queens, New York",1908,2020,113,2935,1904,1031,.649,8.45,4.83,15,14,3,30,2,0
384,385,St. John's College (OH),st-johns-college-oh,"Toledo, Ohio",1921,1921,1,15,15,0,1.000,,,0,0,0,,,
385,386,St. Lawrence Saints,st-lawrence,"Canton, New York",1902,1914,7,99,70,29,.707,,,0,0,0,,,
386,387,Stanford Cardinal,stanford,"Stanford, California",1914,2020,105,2698,1535,1163,.569,8.00,6.00,10,11,1,17,2,1
387,388,Stephen F. Austin Lumberjacks,stephen-f-austin,"Nacogdoches, Texas",1987,2020,34,977,553,424,.566,-5.77,-6.73,0,8,5,5,0,0
388,389,Stetson Hatters,stetson,"DeLand, Florida",1972,2020,49,1377,623,754,.452,-8.46,-4.39,0,0,0,0,0,0
389,390,Stevens Institute Ducks,stevens-institute,"Hoboken, New Jersey",1917,1920,4,48,37,11,.771,,,0,0,0,,,
390,391,Stony Brook Seawolves,stony-brook,"Stony Brook, New York",2000,2020,21,623,315,308,.506,-6.36,-5.38,0,4,1,1,0,0
391,392,SUNY-Potsdam Bears,suny-potsdam,"Potsdam, New York",1910,1913,2,32,22,10,.688,,,0,0,0,,,
392,393,Swarthmore Garnet,swarthmore,"Swarthmore, Pennsylvania",1906,1919,11,133,92,41,.692,,,0,0,0,,,
393,394,Syracuse Orange,syracuse,"Syracuse, New York",1899,2020,120,2921,2011,909,.689,9.60,3.77,30,10,5,40,6,1
394,395,Temple Owls,temple,"Philadelphia, Pennsylvania",1895,2020,124,3008,1929,1079,.641,6.31,2.35,9,20,10,33,2,0
395,396,Tennessee State Tigers,tennessee-state,"Nashville, Tennessee",1978,2020,43,1209,514,695,.425,-8.37,-4.62,0,2,2,2,0,0
396,397,Tennessee Tech Golden Eagles,tennessee-tech,"Cookeville, Tennessee",1944,2020,66,1780,878,902,.493,-6.49,-3.46,0,7,1,2,0,0
397,398,Tennessee Volunteers,tennessee,"Knoxville, Tennessee",1909,2020,111,2713,1660,1051,.612,8.58,5.09,13,13,4,22,0,0
398,399,Tennessee-Martin Skyhawks,tennessee-martin,"Martin, Tennessee",1993,2020,28,805,307,498,.381,-11.13,-3.88,0,1,0,0,0,0
399,400,Texas A&M Aggies,texas-am,"College Station, Texas",1913,2020,108,2703,1427,1276,.528,2.28,2.33,4,12,2,14,0,0
400,401,Texas A&M-Corpus Christi Islanders,texas-am-corpus-christi,"Corpus Christi, Texas",2003,2020,18,531,274,257,.516,-6.41,-4.67,0,1,1,1,0,0
401,402,Texas Christian Horned Frogs,texas-christian,"Fort Worth, Texas",1914,2020,107,2628,1227,1401,.467,0.25,1.79,3,11,0,8,0,0
402,403,Texas Longhorns,texas,"Austin, Texas",1906,2020,114,2880,1793,1087,.623,6.23,3.53,11,25,2,34,3,0
403,404,Texas Southern Tigers,texas-southern,"Houston, Texas",1978,2020,43,1257,623,634,.496,-10.34,-7.79,0,12,8,8,0,0
404,405,Texas State Bobcats,texas-state,"San Marcos, Texas",1985,2020,36,1035,469,566,.453,-8.21,-5.51,0,3,2,2,0,0
405,406,Texas Tech Red Raiders,texas-tech,"Lubbock, Texas",1926,2020,92,2454,1378,1076,.562,4.39,2.38,6,13,5,17,1,0
406,407,Texas Wesleyan Rams,texas-wesleyan,"Fort Worth, Texas",1948,1948,1,30,19,11,.633,,,0,0,0,0,0,0
407,408,Texas-Arlington Mavericks,texas-arlington,"Arlington, Texas",1969,2020,52,1470,678,792,.461,-7.84,-4.27,0,3,1,1,0,0
408,409,Texas-El Paso Miners,texas-el-paso,"El Paso, Texas",1923,2020,92,2342,1339,1003,.572,2.90,0.73,4,11,5,17,1,1
409,410,Texas-Rio Grande Valley Vaqueros,texas-pan-american,"Edinburg, Texas",1969,2020,52,1445,620,825,.429,-8.53,-3.21,0,0,0,0,0,0
410,411,Texas-San Antonio Roadrunners,texas-san-antonio,"San Antonio, Texas",1982,2020,39,1127,563,564,.500,-6.06,-4.30,0,3,4,4,0,0
411,412,Toledo Rockets,toledo,"Toledo, Ohio",1916,2020,105,2541,1457,1084,.573,0.85,-0.45,2,10,1,4,0,0
412,413,Towson Tigers,towson,"Towson, Maryland",1980,2020,41,1193,498,695,.417,-7.93,-4.23,0,4,3,2,0,0
413,414,Trinity (CT) Bantams,trinity-ct,"Hartford, Connecticut",1897,1911,8,81,28,53,.346,,,0,0,0,,,
